loan_id,orig_balance,current_balance,coupon,fico,ltv,dti,seasoning_mo,remaining_term_mo,state,property_type,originator,servicer,base_cpr,base_cdr
L100074,255211.78,246278.41,8.326,718,59.4,36.6,12,168,GA,SFR,Meridian Home Loans,Summit Loan Servicing,0.06,0.008
L100075,309177.21,294256.07,5.618,644,64.1,15.3,41,319,NC,SFR,Highline Capital,Northgate Servicing,0.1191,0.01163
L100076,209077.77,200429.99,6.347,713,42.7,52.4,40,320,NC,SFR,Meridian Home Loans,Northgate Servicing,0.09264999999999998,0.008
L100077,256655.22,250812.55,7.672,718,68.2,28.8,29,331,OH,SFR,Meridian Home Loans,Northgate Servicing,0.06,0.008
L100078,302233.94,298599.76,6.955,596,69.3,52.4,14,346,NC,2-4 Unit,Coastal Mortgage Co,Pier Asset Mgmt,0.05104999999999999,0.019423333333333334
L100079,217886.31,215572.3,8.632,665,67.9,24.4,17,343,FL,SFR,Apex Funding,Northgate Servicing,0.06,0.010516666666666667
L100080,284893.68,262824.61,5.74,737,87.3,29.5,21,159,FL,Multifamily,Meridian Home Loans,Pier Asset Mgmt,0.10409999999999998,0.008
L100081,192591.36,190662.2,5.509,736,84.3,18.4,9,351,NC,SFR,Coastal Mortgage Co,Summit Loan Servicing,0.082365,0.008
L100082,213828.84,211342.41,7.502,652,74.9,38.9,15,345,OH,SFR,Coastal Mortgage Co,Northgate Servicing,0.049999999999999996,0.013483333333333333
L100083,212435.08,206948.04,5.324,724,69.6,27.2,7,173,WA,Condo,Meridian Home Loans,Northgate Servicing,0.07955333333333334,0.008
L100084,159764.5,158523.09,6.223,771,86.3,27.4,8,352,NC,SFR,Meridian Home Loans,Northgate Servicing,0.07036,0.008
L100085,287920.7,277630.41,6.341,758,73.8,25.0,35,325,GA,SFR,Meridian Home Loans,Pier Asset Mgmt,0.09294999999999999,0.008
L100086,206016.01,204888.74,7.332,710,64.2,42.2,7,353,OH,SFR,Highline Capital,Northgate Servicing,0.06,0.008
L100087,243865.7,238917.21,6.953,689,53.4,41.7,23,337,WA,Condo,Highline Capital,Northgate Servicing,0.06180166666666665,0.008
L100088,287293.99,281859.22,6.811,680,68.7,50.5,21,339,CA,2-4 Unit,Apex Funding,Pier Asset Mgmt,0.066615,0.010836666666666668
L100089,283874.04,283028.15,6.038,741,83.1,30.5,3,357,NY,SFR,Apex Funding,Northgate Servicing,0.06480999999999999,0.008
L100090,306472.95,264540.6,7.494,726,97.0,37.8,40,140,NY,SFR,Meridian Home Loans,Northgate Servicing,0.06,0.00822
L100091,234574.87,228660.73,10.023,750,74.7,25.7,47,313,GA,SFR,Meridian Home Loans,Summit Loan Servicing,0.06,0.008
L100092,209367.34,203577.91,7.022,722,64.8,33.3,31,329,FL,SFR,Coastal Mortgage Co,Summit Loan Servicing,0.06,0.008
L100093,236120.75,209001.23,6.49,760,59.8,31.8,32,148,NY,SFR,Highline Capital,Summit Loan Servicing,0.08549999999999999,0.008
L100094,134515.26,132774.71,5.232,720,80.6,39.7,11,349,CA,Multifamily,Coastal Mortgage Co,Northgate Servicing,0.09241333333333332,0.008
L100095,146314.05,139684.3,5.826,758,52.8,44.1,40,320,CA,SFR,Highline Capital,Pier Asset Mgmt,0.11870000000000003,0.008
L100096,152825.98,146881.66,6.208,763,80.6,43.9,37,323,IL,SFR,Coastal Mortgage Co,Summit Loan Servicing,0.0996,0.008
L100097,171264.36,167443.06,5.919,671,83.8,29.3,21,339,WA,SFR,Coastal Mortgage Co,Pier Asset Mgmt,0.097835,0.011833333333333333
L100098,279266.27,269674.5,6.386,616,79.2,44.0,34,326,FL,SFR,Highline Capital,Pier Asset Mgmt,0.0807,0.017853333333333332
L100099,176854.45,170650.92,8.0,800,71.4,35.6,45,315,FL,SFR,Coastal Mortgage Co,Summit Loan Servicing,0.06,0.008
L100100,212701.09,192380.31,7.522,729,80.8,33.4,29,151,FL,SFR,Apex Funding,Summit Loan Servicing,0.06,0.008
L100101,382594.1,369417.88,6.257,621,76.1,30.3,10,170,WA,SFR,Apex Funding,Pier Asset Mgmt,0.06238333333333334,0.01613
L100102,214337.6,210318.15,5.313,676,64.7,31.5,16,344,NC,SFR,Apex Funding,Northgate Servicing,0.10498666666666667,0.00957
L100103,314308.56,312199.63,7.604,757,96.2,49.9,9,351,NC,2-4 Unit,Apex Funding,Summit Loan Servicing,0.06,0.008
L100104,175121.24,172410.45,6.356,700,69.8,38.5,16,344,TX,SFR,Highline Capital,Pier Asset Mgmt,0.07717333333333333,0.008146666666666667
L100105,225956.29,213199.31,4.846,687,83.3,37.4,42,318,WA,SFR,Coastal Mortgage Co,Northgate Servicing,0.16770000000000002,0.010723333333333333
L100106,174118.66,172814.18,7.041,792,45.0,33.9,9,351,TX,SFR,Coastal Mortgage Co,Northgate Servicing,0.06,0.008
L100107,215634.13,207724.57,7.323,657,89.3,55.0,42,318,WA,SFR,Apex Funding,Pier Asset Mgmt,0.049999999999999996,0.015496666666666667
L100108,325822.44,319354.03,4.217,671,91.6,46.4,14,346,WA,SFR,Coastal Mortgage Co,Summit Loan Servicing,0.12493666666666668,0.013753333333333333
L100109,132645.82,129073.73,5.658,727,74.4,30.2,24,336,GA,SFR,Meridian Home Loans,Northgate Servicing,0.11367999999999998,0.008
L100110,282673.63,275598.31,6.301,736,80.7,33.8,25,335,OH,SFR,Coastal Mortgage Co,Summit Loan Servicing,0.089125,0.008
L100111,263868.85,262567.63,7.061,742,80.7,34.3,6,354,WA,SFR,Apex Funding,Northgate Servicing,0.06,0.008
L100112,197214.55,195390.06,5.936,765,66.3,37.2,9,351,GA,SFR,Apex Funding,Pier Asset Mgmt,0.07596,0.008
L100113,146368.07,138329.84,5.651,726,80.6,30.4,15,165,AZ,2-4 Unit,Coastal Mortgage Co,Northgate Servicing,0.093725,0.008
L100114,249009.25,248399.85,7.054,742,64.3,39.5,3,357,GA,Multifamily,Apex Funding,Pier Asset Mgmt,0.06,0.008
L100115,201728.41,193799.57,5.979,701,66.7,47.6,36,324,GA,2-4 Unit,Coastal Mortgage Co,Summit Loan Servicing,0.11105,0.008343333333333335
L100116,263402.0,239944.59,6.888,718,87.5,25.5,26,154,NY,SFR,Apex Funding,Northgate Servicing,0.06485333333333333,0.008
L100117,244665.74,232735.9,5.4,721,85.7,27.0,40,320,NC,Condo,Coastal Mortgage Co,Pier Asset Mgmt,0.13999999999999999,0.008
L100118,425330.85,355204.68,5.183,727,65.5,32.1,41,139,FL,SFR,Highline Capital,Summit Loan Servicing,0.15085,0.008
L100119,223289.75,210818.6,7.08,757,65.2,32.5,17,163,TX,SFR,Apex Funding,Summit Loan Servicing,0.06,0.008
L100120,169698.04,163204.9,6.627,746,66.3,52.0,39,321,FL,Multifamily,Apex Funding,Pier Asset Mgmt,0.07865000000000001,0.008
L100121,258524.69,257913.59,7.23,717,82.8,44.0,3,357,CA,Condo,Coastal Mortgage Co,Summit Loan Servicing,0.06,0.008113333333333334
L100122,262235.66,256386.71,5.921,670,62.0,43.6,21,339,WA,SFR,Highline Capital,Summit Loan Servicing,0.09776499999999999,0.010706666666666666
L100123,390707.96,376472.11,5.684,719,78.3,33.9,32,328,FL,Multifamily,Coastal Mortgage Co,Pier Asset Mgmt,0.1258,0.008
L100124,325230.34,319691.11,7.625,713,83.0,33.7,22,338,AZ,SFR,Highline Capital,Summit Loan Servicing,0.06,0.008
L100125,275104.11,236485.58,5.029,726,72.9,24.4,35,145,IL,SFR,Meridian Home Loans,Northgate Servicing,0.15855000000000002,0.008
L100126,405208.09,391270.69,7.526,820,86.1,42.3,41,319,NY,SFR,Highline Capital,Summit Loan Servicing,0.06,0.008
L100127,160160.69,157679.23,7.588,686,70.3,39.9,20,340,FL,SFR,Highline Capital,Northgate Servicing,0.06,0.00969
L100128,194091.89,192020.35,7.174,738,71.4,46.3,13,347,OH,Multifamily,Meridian Home Loans,Summit Loan Servicing,0.06,0.008
L100129,175553.38,170105.31,5.781,774,62.3,34.3,28,332,GA,SFR,Meridian Home Loans,Summit Loan Servicing,0.11688666666666668,0.008
L100130,211835.77,201694.67,5.665,720,86.2,34.9,41,319,IL,SFR,Highline Capital,Pier Asset Mgmt,0.12675,0.008
L100131,149965.4,142359.05,6.211,820,64.8,37.4,47,313,NC,Condo,Coastal Mortgage Co,Summit Loan Servicing,0.09944999999999998,0.008
L100132,303246.97,288450.18,5.234,694,78.2,43.1,39,321,OH,2-4 Unit,Apex Funding,Summit Loan Servicing,0.1483,0.009893333333333334
L100133,224632.73,221625.56,5.534,733,73.1,24.2,12,348,NC,2-4 Unit,Meridian Home Loans,Summit Loan Servicing,0.08932000000000001,0.008
L100134,145105.71,143879.84,6.98,671,61.4,41.9,10,350,IL,Multifamily,Coastal Mortgage Co,Pier Asset Mgmt,0.06033333333333332,0.010433333333333333
L100135,170169.0,166090.76,6.984,696,66.7,35.8,27,333,OH,2-4 Unit,Apex Funding,Northgate Servicing,0.060719999999999996,0.008056666666666667
L100136,270960.91,265039.38,5.455,729,90.6,27.5,19,341,OH,SFR,Highline Capital,Summit Loan Servicing,0.108925,0.008
L100137,325573.75,317182.02,7.009,762,76.4,19.3,29,331,WA,SFR,Coastal Mortgage Co,Northgate Servicing,0.06,0.008
L100138,488383.29,410336.4,6.809,733,61.9,34.9,44,136,CA,Multifamily,Meridian Home Loans,Northgate Servicing,0.06954999999999999,0.008
L100139,673236.44,659854.38,7.759,784,77.7,47.6,26,334,OH,SFR,Coastal Mortgage Co,Northgate Servicing,0.06,0.008
L100140,280700.43,264810.19,6.912,710,72.2,49.4,17,163,TX,SFR,Apex Funding,Summit Loan Servicing,0.06249333333333333,0.008113333333333334
L100141,171727.06,147324.42,7.353,697,97.0,38.8,41,139,NC,SFR,Highline Capital,Pier Asset Mgmt,0.06,0.011186666666666668
L100142,115126.15,112955.65,6.829,820,77.4,51.7,21,339,NC,SFR,Highline Capital,Pier Asset Mgmt,0.065985,0.008
L100143,266651.81,260119.49,7.282,737,69.4,35.7,29,331,FL,SFR,Highline Capital,Pier Asset Mgmt,0.06,0.008
L100144,182676.23,181187.89,5.242,675,91.0,43.6,7,353,CA,2-4 Unit,Meridian Home Loans,Pier Asset Mgmt,0.08051,0.013106666666666666
L100145,209950.06,204908.52,6.29,677,51.9,32.4,24,336,WA,SFR,Apex Funding,Summit Loan Servicing,0.08839999999999999,0.00825
L100146,195979.65,191950.88,6.365,663,75.1,31.9,21,339,OH,SFR,Apex Funding,Northgate Servicing,0.08222499999999999,0.011936666666666667
L100147,231127.13,229776.42,6.181,767,97.0,30.6,6,354,TX,SFR,Coastal Mortgage Co,Pier Asset Mgmt,0.06819,0.008
L100148,352601.25,349516.6,6.799,695,72.6,19.5,10,350,NC,Condo,Highline Capital,Northgate Servicing,0.06334999999999999,0.008
L100149,256521.3,248597.29,6.971,722,53.2,46.3,34,326,TX,SFR,Highline Capital,Pier Asset Mgmt,0.06144999999999999,0.008
L100150,229688.15,227868.81,6.753,712,69.2,30.9,9,351,GA,SFR,Meridian Home Loans,Northgate Servicing,0.063705,0.008
L100151,168977.56,167835.59,6.241,755,91.5,29.6,7,353,NY,SFR,Highline Capital,Pier Asset Mgmt,0.068855,0.008
L100152,135112.22,133680.23,5.738,668,78.5,26.6,3,177,AZ,SFR,Highline Capital,Summit Loan Servicing,0.06631,0.011423333333333334
L100153,204800.63,204488.74,7.387,656,63.9,34.4,2,358,GA,SFR,Apex Funding,Pier Asset Mgmt,0.049999999999999996,0.011683333333333334
L100154,238273.89,233684.59,6.715,727,65.8,50.1,21,339,IL,SFR,Coastal Mortgage Co,Pier Asset Mgmt,0.06997500000000001,0.008
L100155,450798.38,438822.32,5.483,748,67.3,52.8,23,337,NC,SFR,Highline Capital,Summit Loan Servicing,0.11815166666666668,0.008
L100156,254128.69,246287.18,6.226,733,78.3,22.7,30,330,IL,Condo,Apex Funding,Pier Asset Mgmt,0.09870000000000001,0.008
L100157,342476.67,330393.99,4.831,670,90.1,33.2,27,333,CA,SFR,Highline Capital,Summit Loan Servicing,0.157605,0.012823333333333332
L100158,203871.78,198676.52,6.432,752,86.6,27.7,26,334,GA,SFR,Apex Funding,Pier Asset Mgmt,0.08461333333333332,0.008
L100159,160374.93,152254.64,6.221,674,79.5,43.9,47,313,AZ,2-4 Unit,Highline Capital,Pier Asset Mgmt,0.09895,0.012076666666666666
L100160,173201.19,171027.39,5.883,686,58.0,38.3,12,348,IL,Condo,Coastal Mortgage Co,Summit Loan Servicing,0.08234,0.008353333333333334
L100161,188371.41,183405.81,7.826,663,58.1,30.9,34,326,TX,SFR,Meridian Home Loans,Northgate Servicing,0.06,0.01017
L100162,511429.18,509114.54,5.359,787,80.4,36.6,4,356,CA,Condo,Coastal Mortgage Co,Northgate Servicing,0.07094,0.008
L100163,182137.04,175476.33,7.036,750,57.9,32.2,40,320,FL,SFR,Highline Capital,Pier Asset Mgmt,0.06,0.008
L100164,325615.08,308213.86,8.368,748,71.3,48.9,18,162,AZ,SFR,Apex Funding,Summit Loan Servicing,0.06,0.008
L100165,177012.47,174604.28,7.37,784,77.6,40.4,17,343,NY,Condo,Apex Funding,Pier Asset Mgmt,0.06,0.008
L100166,336398.1,334180.76,6.372,820,60.3,41.4,7,353,WA,SFR,Apex Funding,Summit Loan Servicing,0.06732666666666666,0.008
L100167,277821.15,269957.46,5.379,621,61.7,14.7,24,336,NY,SFR,Apex Funding,Summit Loan Servicing,0.11484000000000003,0.01365
L100168,229848.74,224566.01,5.174,674,72.9,35.5,19,341,IL,2-4 Unit,Meridian Home Loans,Pier Asset Mgmt,0.11782333333333332,0.010856666666666667
L100169,239362.19,227135.63,6.03,681,80.0,52.7,46,314,AZ,Condo,Coastal Mortgage Co,Northgate Servicing,0.10849999999999999,0.012013333333333334
L100170,193073.13,191234.75,5.782,668,86.7,46.6,9,351,NC,Multifamily,Meridian Home Loans,Pier Asset Mgmt,0.07827,0.013576666666666667
L100171,283828.45,277626.31,5.752,656,81.3,21.2,20,340,CA,2-4 Unit,Coastal Mortgage Co,Pier Asset Mgmt,0.0916,0.012543333333333333
L100172,207058.32,197377.01,6.106,699,74.9,33.5,43,317,CA,SFR,Apex Funding,Pier Asset Mgmt,0.10470000000000002,0.008423333333333335
L100173,158108.69,151886.95,6.308,648,65.0,26.4,38,322,TX,SFR,Highline Capital,Summit Loan Servicing,0.08460000000000002,0.012060000000000001
L100174,155239.11,150005.24,6.837,733,61.1,49.7,36,324,OH,SFR,Meridian Home Loans,Summit Loan Servicing,0.06815000000000002,0.008
L100175,257920.27,250171.91,5.286,718,67.9,38.0,25,335,CA,Condo,Apex Funding,Pier Asset Mgmt,0.13141666666666668,0.008
L100176,421966.81,401650.34,5.786,741,78.9,29.9,42,318,CA,SFR,Meridian Home Loans,Pier Asset Mgmt,0.12070000000000003,0.008
L100177,256785.67,247031.49,6.256,743,78.0,36.3,11,169,AZ,SFR,Meridian Home Loans,Pier Asset Mgmt,0.07364,0.008
L100178,232926.12,223352.52,6.224,748,48.8,15.1,39,321,NC,SFR,Highline Capital,Pier Asset Mgmt,0.0988,0.008
L100179,268347.79,262880.95,8.053,694,64.6,27.3,28,332,WA,Condo,Apex Funding,Summit Loan Servicing,0.06,0.008
L100180,383502.19,377470.81,6.609,820,88.5,36.3,17,343,FL,SFR,Meridian Home Loans,Pier Asset Mgmt,0.07107833333333333,0.008
L100181,262179.29,258607.58,4.948,728,75.0,42.8,11,349,NC,SFR,Meridian Home Loans,Summit Loan Servicing,0.09761999999999998,0.008
L100182,210275.84,205453.99,6.776,613,57.0,20.5,25,335,TX,2-4 Unit,Meridian Home Loans,Pier Asset Mgmt,0.05933333333333334,0.014366666666666666
L100183,357610.99,357311.49,6.891,660,97.0,33.0,1,359,GA,Condo,Coastal Mortgage Co,Northgate Servicing,0.06018166666666666,0.0145
L100184,282113.5,272250.46,6.287,619,73.7,44.1,34,326,TX,SFR,Meridian Home Loans,Summit Loan Servicing,0.08565000000000002,0.017010000000000004
L100185,415614.99,409816.17,5.308,716,78.6,24.4,12,348,WA,SFR,Apex Funding,Pier Asset Mgmt,0.09384,0.008
L100186,258883.14,255364.69,7.982,708,78.8,37.8,19,341,IL,Multifamily,Coastal Mortgage Co,Pier Asset Mgmt,0.06,0.008199999999999999
L100187,158171.61,152349.25,5.437,689,69.6,36.5,10,170,FL,SFR,Apex Funding,Northgate Servicing,0.08604999999999999,0.009093333333333333
L100188,150413.63,147525.68,6.995,820,65.3,49.7,22,338,WA,SFR,Meridian Home Loans,Pier Asset Mgmt,0.060183333333333325,0.008
L100189,432710.75,406004.35,6.58,745,97.0,34.2,18,162,CA,Multifamily,Meridian Home Loans,Summit Loan Servicing,0.0726,0.008
L100190,443868.22,430902.93,6.941,755,86.0,34.6,9,171,AZ,SFR,Meridian Home Loans,Summit Loan Servicing,0.060885,0.008
L100191,228015.36,220540.03,7.936,664,83.9,42.8,42,318,GA,SFR,Meridian Home Loans,Summit Loan Servicing,0.06,0.013443333333333335
