period,tranche,beginning_balance_note,principal_paid,interest_paid,ending_balance
12.0,B (Subordinate),,0.0,195762.45,36787708.76
13.0,A (Senior),,4459304.87,1486495.2,319866921.27
13.0,M (Mezz),,0.0,364218.02,68443904.47
13.0,B (Subordinate),,0.0,194799.17,36606689.88
14.0,A (Senior),,4413788.17,1466056.72,315453133.1
14.0,M (Mezz),,0.0,364218.02,68443904.47
14.0,B (Subordinate),,0.0,193846.31,36427626.47
15.0,A (Senior),,4368726.16,1445826.86,311084406.94
15.0,M (Mezz),,0.0,364218.02,68443904.47
15.0,B (Subordinate),,0.0,192903.73,36250498.52
16.0,A (Senior),,4324114.32,1425803.53,306760292.62
16.0,M (Mezz),,0.0,364218.02,68443904.47
16.0,B (Subordinate),,0.0,191971.36,36075286.23
17.0,A (Senior),,4279948.2,1405984.67,302480344.42
17.0,M (Mezz),,0.0,364218.02,68443904.47
17.0,B (Subordinate),,0.0,191049.07,35901969.99
18.0,A (Senior),,4236223.39,1386368.25,298244121.03
18.0,M (Mezz),,0.0,364218.02,68443904.47
18.0,B (Subordinate),,0.0,190136.77,35730530.39
19.0,A (Senior),,4192935.54,1366952.22,294051185.49
19.0,M (Mezz),,0.0,364218.02,68443904.47
19.0,B (Subordinate),,0.0,189234.36,35560948.21
20.0,A (Senior),,4150080.3,1347734.6,289901105.19
20.0,M (Mezz),,0.0,364218.02,68443904.47
20.0,B (Subordinate),,0.0,188341.72,35393204.43
21.0,A (Senior),,4107653.41,1328713.4,285793451.78
21.0,M (Mezz),,0.0,364218.02,68443904.47
21.0,B (Subordinate),,0.0,187458.77,35227280.21
22.0,A (Senior),,4065650.62,1309886.65,281727801.16
22.0,M (Mezz),,0.0,364218.02,68443904.47
22.0,B (Subordinate),,0.0,186585.4,35063156.91
23.0,A (Senior),,4024067.73,1291252.42,277703733.43
23.0,M (Mezz),,0.0,364218.02,68443904.47
23.0,B (Subordinate),,0.0,185721.52,34900816.07
24.0,A (Senior),,3982900.6,1272808.78,273720832.83
24.0,M (Mezz),,0.0,364218.02,68443904.47
24.0,B (Subordinate),,0.0,184867.03,34740239.41
25.0,A (Senior),,3942145.09,1254553.82,269778687.74
25.0,M (Mezz),,0.0,364218.02,68443904.47
25.0,B (Subordinate),,0.0,184021.83,34581408.84
26.0,A (Senior),,3901797.16,1236485.65,265876890.58
26.0,M (Mezz),,0.0,364218.02,68443904.47
26.0,B (Subordinate),,0.0,183185.82,34424306.45
27.0,A (Senior),,3861852.74,1218602.42,262015037.84
27.0,M (Mezz),,0.0,364218.02,68443904.47
27.0,B (Subordinate),,0.0,182358.91,34268914.51
28.0,A (Senior),,3822307.85,1200902.26,258192729.99
28.0,M (Mezz),,0.0,364218.02,68443904.47
28.0,B (Subordinate),,0.0,181541.02,34115215.47
29.0,A (Senior),,3783158.54,1183383.35,254409571.45
29.0,M (Mezz),,0.0,364218.02,68443904.47
29.0,B (Subordinate),,0.0,180732.04,33963191.95
30.0,A (Senior),,3744400.9,1166043.87,250665170.55
30.0,M (Mezz),,0.0,364218.02,68443904.47
30.0,B (Subordinate),,0.0,179931.89,33812826.75
31.0,A (Senior),,3706031.02,1148882.03,246959139.53
31.0,M (Mezz),,0.0,364218.02,68443904.47
31.0,B (Subordinate),,0.0,179140.47,33664102.83
32.0,A (Senior),,3668045.09,1131896.06,243291094.44
32.0,M (Mezz),,0.0,364218.02,68443904.47
32.0,B (Subordinate),,0.0,178357.69,33517003.33
33.0,A (Senior),,3630439.32,1115084.18,239660655.12
33.0,M (Mezz),,0.0,364218.02,68443904.47
33.0,B (Subordinate),,0.0,177583.47,33371511.56
34.0,A (Senior),,3593209.91,1098444.67,236067445.21
34.0,M (Mezz),,0.0,364218.02,68443904.47
34.0,B (Subordinate),,0.0,176817.71,33227611.0
35.0,A (Senior),,3556353.15,1081975.79,232511092.06
35.0,M (Mezz),,0.0,364218.02,68443904.47
35.0,B (Subordinate),,0.0,176060.34,33085285.28
36.0,A (Senior),,3519865.34,1065675.84,228991226.72
36.0,M (Mezz),,0.0,364218.02,68443904.47
36.0,B (Subordinate),,0.0,175311.26,32944518.21
